1 1 1  2. 2. 2. 3     AMT
1 1 1  2. 2. 2. 3     NRC
1 1 1  2.  2.  2.  1     MNF
1 1 1  2.  2.  2.  1     TRL
1 1 1  2.  2.  2.  1     ANT
1 1 1  2.  2.  2.  1     PZI1
1 1 1  2.  2.  2.  1     LSS
1 1 1  2.  2.  2.  1     SPD
1 1 1  2.  2.  2.  1     FOS
1 1 1  2.  2.  2.  1     ASP
1 1 1  2.  2.  2.  1     TRE
1 1 1  2.  2.  2.  1     SPM
1 1 1  2.  2.  2.  1     FEMA
1 1 1  2.  2.  2.  1     TERO
1 1 1  2.  2.  2.  1     RM33
0 1 1  1.  1.  1.  2     RQT
1 1 1  2.  2.  2.  1     SNO
1 1 1  2.  2.  2.  1     CSC
1 1 1  2.  2.  2.  1     MSC
1 1 1  2.  2.  2.  1     CLF
