0.50 -0.207 0.071 0.515 0.934 0.955 0.653 0.389 0.760
0.80 -1.609 -1.325 -0.928 -0.620 -0.246 0.647 0.418 0.770
1.00 -2.451 -2.152 -1.776 -1.523 -1.084 0.657 0.410 0.775
1.25 -3.243 -2.923 -2.542 -2.327 -1.936 0.660 0.402 0.773
1.50 -3.888 -3.548 -3.169 -2.979 -2.661 0.664 0.408 0.779
2.00 -4.783 -4.410 -4.039 -3.871 -3.640 0.669 0.414 0.787
2.50 -5.444 -5.049 -4.698 -4.496 -4.341 0.671 0.411 0.786
3.00 -5.839 -5.431 -5.089 -4.893 -4.758 0.667 0.396 0.776
4.00 -6.598 -6.181 -5.882 -5.698 -5.588 0.647 0.382 0.751
5.00 -6.752 -6.347 -6.051 -5.873 -5.798 0.643 0.377 0.745
