period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref,h,Dc3.globalCATWNZ,Dc3.ChinaTurkey,Dc3.ItalyJapan,clin,Vc,Vref,f1,f3,f4,f5,f6,f7,R1,R2,DfR,DfV,V1,V2,phi1,phi2,tau1,tau2
0.8,6.1346E-01,6.4196E-01,4.2173E-01,6.3519E-01,1.3341E+00,-2.1047E-01,1.2256E-01,6.2,-1.1819E+00,1.0873E-01,-1.7540E-03,4.5,1,5.63,0.0000E+00,2.7464E-03,-2.4561E-03,-1.0210E+00,1139.21,760,0,0.1,-1.3201E-01,-8.2200E-03,1.4040E-01,8.8481E-02,109.62,267.32,0.099,0.063,225,300,0.576,0.624,0.466,0.274
0.85,5.5853E-01,5.8698E-01,3.6813E-01,5.7969E-01,1.3780E+00,-2.0528E-01,1.3608E-01,6.2,-1.1854E+00,1.0709E-01,-1.5970E-03,4.5,1,5.66,0.0000E+00,2.7973E-03,-2.3787E-03,-1.0282E+00,1131.34,760,0,0.1,-1.2517E-01,-8.3000E-03,1.9495E-01,1.2029E-01,111.08,268.14,0.099,0.053,225,300,0.570,0.625,0.475,0.281
0.9,5.0296E-01,5.3136E-01,3.1376E-01,5.2361E-01,1.4208E+00,-2.0011E-01,1.4983E-01,6.2,-1.1884E+00,1.0548E-01,-1.4560E-03,4.5,1,5.69,0.0000E+00,2.8428E-03,-2.2932E-03,-1.0360E+00,1123.91,760,0,0.1,-1.1831E-01,-8.3600E-03,2.5203E-01,1.5159E-01,112.71,268.90,0.098,0.042,225,300,0.564,0.626,0.483,0.288
0.95,4.4701E-01,4.7541E-01,2.5919E-01,4.6706E-01,1.4623E+00,-1.9490E-01,1.6432E-01,6.2,-1.1909E+00,1.0389E-01,-1.3280E-03,4.5,1,5.72,0.0000E+00,2.8847E-03,-2.1958E-03,-1.0436E+00,1116.83,760,0,0.1,-1.1160E-01,-8.4100E-03,3.0940E-01,1.8077E-01,114.50,269.55,0.098,0.030,225,300,0.558,0.626,0.491,0.294
1,3.9320E-01,4.2180E-01,2.0700E-01,4.1240E-01,1.5004E+00,-1.8983E-01,1.7895E-01,6.2,-1.1930E+00,1.0248E-01,-1.2100E-03,4.5,1,5.74,0.0000E+00,2.9211E-03,-2.0894E-03,-1.0500E+00,1109.95,760,0,0.1,-1.0521E-01,-8.4400E-03,3.6695E-01,2.0789E-01,116.39,270.00,0.098,0.020,225,300,0.553,0.625,0.498,0.298
1.1,2.8484E-01,3.1374E-01,1.0182E-01,3.0209E-01,1.5690E+00,-1.8001E-01,2.1042E-01,6.2,-1.1966E+00,1.0016E-01,-9.9400E-04,4.5,1,5.82,0.0000E+00,2.9539E-03,-1.9774E-03,-1.0573E+00,1103.07,760,0,0.1,-9.3837E-02,-8.4700E-03,4.2452E-01,2.3310E-01,118.30,270.18,0.099,0.007,225,300,0.548,0.624,0.505,0.302
1.2,1.7340E-01,2.0259E-01,-6.1950E-03,1.8866E-01,1.6282E+00,-1.7090E-01,2.4410E-01,6.2,-1.1996E+00,9.8482E-02,-8.0300E-04,4.5,1,5.92,0.0000E+00,2.9821E-03,-1.8619E-03,-1.0584E+00,1096.04,760,0,0.1,-8.4144E-02,-8.4200E-03,4.8116E-01,2.5606E-01,120.19,269.42,0.100,0.002,225,300,0.543,0.623,0.511,0.306
1.3,6.1520E-02,9.1060E-02,-1.1345E-01,7.4330E-02,1.6794E+00,-1.6233E-01,2.7799E-01,6.2,-1.2018E+00,9.7375E-02,-6.3500E-04,4.5,1,6.01,0.0000E+00,3.0066E-03,-1.7454E-03,-1.0554E+00,1088.67,760,0,0.1,-7.5819E-02,-8.2900E-03,5.3597E-01,2.7648E-01,122.01,267.82,0.101,0.003,225,300,0.539,0.622,0.516,0.309
1.4,-4.5750E-02,-1.5700E-02,-2.1550E-01,-3.6070E-02,1.7239E+00,-1.5413E-01,3.0956E-01,6.2,-1.2039E+00,9.6743E-02,-4.9000E-04,4.5,1,6.1,0.0000E+00,3.0258E-03,-1.6298E-03,-1.0504E+00,1080.77,760,0,0.1,-6.8543E-02,-8.0600E-03,5.8832E-01,2.9424E-01,123.75,265.45,0.102,0.006,225,300,0.535,0.620,0.521,0.312
1.5,-1.4954E-01,-1.1866E-01,-3.1380E-01,-1.4370E-01,1.7622E+00,-1.4670E-01,3.3896E-01,6.2,-1.2063E+00,9.6445E-02,-3.6500E-04,4.5,1,6.18,0.0000E+00,3.0394E-03,-1.5179E-03,-1.0454E+00,1072.39,760,0,0.1,-6.2000E-02,-7.7100E-03,6.3789E-01,3.0944E-01,125.38,262.41,0.104,0.010,225,300,0.532,0.619,0.525,0.315
1.6,-2.4860E-01,-2.1672E-01,-4.0682E-01,-2.4708E-01,1.7955E+00,-1.3997E-01,3.6616E-01,6.2,-1.2086E+00,9.6338E-02,-2.5900E-04,4.5,1,6.26,0.0000E+00,3.0412E-03,-1.4114E-03,-1.0421E+00,1061.77,760,0,0.1,-5.5927E-02,-7.2300E-03,6.8889E-01,3.2449E-01,126.90,258.78,0.105,0.012,225,300,0.529,0.618,0.528,0.318
1.7,-3.4145E-01,-3.0840E-01,-4.9295E-01,-3.4465E-01,1.8259E+00,-1.3361E-01,3.9065E-01,6.2,-1.2106E+00,9.6254E-02,-1.7100E-04,4.5,1,6.33,0.0000E+00,3.0258E-03,-1.3231E-03,-1.0404E+00,1049.29,760,0,0.1,-5.0286E-02,-6.6600E-03,7.3578E-01,3.3720E-01,128.14,254.66,0.106,0.012,225,300,0.527,0.618,0.530,0.321
1.8,-4.2975E-01,-3.9558E-01,-5.7388E-01,-4.3818E-01,1.8564E+00,-1.2686E-01,4.1244E-01,6.2,-1.2123E+00,9.6207E-02,-9.9000E-05,4.5,1,6.4,0.0000E+00,3.0003E-03,-1.2531E-03,-1.0397E+00,1036.42,760,0,0.1,-4.5096E-02,-6.0300E-03,7.7992E-01,3.4963E-01,129.11,250.11,0.106,0.012,225,300,0.526,0.618,0.531,0.323
1.9,-5.1276E-01,-4.7731E-01,-6.4899E-01,-5.2682E-01,1.8868E+00,-1.1959E-01,4.3151E-01,6.2,-1.2141E+00,9.6255E-02,-4.2000E-05,4.5,1,6.48,0.0000E+00,2.9675E-03,-1.2012E-03,-1.0395E+00,1023.14,760,0,0.1,-4.0373E-02,-5.4000E-03,8.2427E-01,3.6413E-01,129.86,245.25,0.106,0.010,225,300,0.526,0.618,0.532,0.326
2,-5.8669E-01,-5.5003E-01,-7.1466E-01,-6.0658E-01,1.9152E+00,-1.1237E-01,4.4788E-01,6.2,-1.2159E+00,9.6361E-02,0.0000E+00,4.5,1,6.54,0.0000E+00,2.9229E-03,-1.1703E-03,-1.0392E+00,1009.49,760,0,0.1,-3.6136E-02,-4.7900E-03,8.7138E-01,3.8245E-01,130.37,240.14,0.105,0.008,225,300,0.526,0.618,0.532,0.329
2.2,-7.2143E-01,-6.8220E-01,-8.3003E-01,-7.5402E-01,1.9681E+00,-9.8017E-02,4.8024E-01,6.2,-1.2190E+00,9.6497E-02,0.0000E+00,4.5,1,6.66,0.0000E+00,2.8701E-03,-1.1566E-03,-1.0368E+00,995.52,760,0,0.1,-2.9105E-02,-3.7800E-03,9.2033E-01,4.0402E-01,130.67,229.55,0.103,0.005,225,300,0.527,0.619,0.533,0.332
2.4,-8.4810E-01,-8.0690E-01,-9.3260E-01,-8.9410E-01,2.0170E+00,-8.3765E-02,5.1873E-01,6.2,-1.2202E+00,9.6198E-02,0.0000E+00,4.5,1,6.73,0.0000E+00,2.8146E-03,-1.1548E-03,-1.0323E+00,981.33,760,0,0.1,-2.3710E-02,-3.0200E-03,9.6931E-01,4.2742E-01,130.81,219.05,0.100,0.003,225,300,0.528,0.619,0.533,0.335
2.5,-9.0966E-01,-8.6765E-01,-9.8228E-01,-9.6187E-01,2.0406E+00,-7.6308E-02,5.3883E-01,6.2,-1.2201E+00,9.6106E-02,0.0000E+00,4.5,1,6.77,0.0000E+00,2.7609E-03,-1.1593E-03,-1.0294E+00,966.94,760,0,0.1,-2.1509E-02,-2.7200E-03,1.0167E+00,4.5142E-01,130.81,214.04,0.097,0.002,225,300,0.530,0.619,0.534,0.337
2.6,-9.6863E-01,-9.2577E-01,-1.0313E+00,-1.0266E+00,2.0628E+00,-6.8925E-02,5.5810E-01,6.2,-1.2198E+00,9.6136E-02,0.0000E+00,4.5,1,6.81,0.0000E+00,2.7082E-03,-1.1684E-03,-1.0262E+00,952.34,760,0,0.1,-1.9576E-02,-2.4600E-03,1.0601E+00,4.7422E-01,130.72,209.32,0.094,0.001,225,300,0.531,0.620,0.535,0.340
2.8,-1.0817E+00,-1.0367E+00,-1.1301E+00,-1.1495E+00,2.1014E+00,-5.5229E-02,5.9394E-01,6.2,-1.2189E+00,9.6667E-02,0.0000E+00,4.5,1,6.87,0.0000E+00,2.6581E-03,-1.1803E-03,-1.0190E+00,937.52,760,0,0.1,-1.6324E-02,-2.0800E-03,1.0990E+00,4.9536E-01,130.57,201.08,0.091,0.000,225,300,0.532,0.619,0.536,0.342
3,-1.1898E+00,-1.1420E+00,-1.2300E+00,-1.2664E+00,2.1323E+00,-4.3320E-02,6.2694E-01,6.2,-1.2179E+00,9.7638E-02,0.0000E+00,4.5,1,6.93,0.0000E+00,2.6163E-03,-1.1885E-03,-1.0112E+00,922.43,760,0,0.1,-1.3577E-02,-1.8300E-03,1.1348E+00,5.1585E-01,130.36,195.00,0.088,0.000,225,300,0.534,0.619,0.537,0.344
3.2,-1.2914E+00,-1.2406E+00,-1.3255E+00,-1.3760E+00,2.1545E+00,-3.4440E-02,6.5811E-01,6.2,-1.2169E+00,9.8649E-02,-2.3000E-05,4.5,1,6.99,0.0000E+00,2.5880E-03,-1.1921E-03,-1.0032E+00,908.79,760,0,0.1,-1.1030E-02,-1.6700E-03,1.1638E+00,5.3411E-01,130.13,191.61,0.084,0.000,225,300,0.535,0.618,0.538,0.345
3.4,-1.3860E+00,-1.3322E+00,-1.4150E+00,-1.4786E+00,2.1704E+00,-2.7889E-02,6.8755E-01,6.2,-1.2160E+00,9.9553E-02,-4.0000E-05,4.5,1,7.08,0.0000E+00,2.5753E-03,-1.1866E-03,-9.9512E-01,896.15,760,0,0.1,-8.6652E-03,-1.5800E-03,1.1882E+00,5.5145E-01,129.90,190.73,0.081,0.000,225,300,0.535,0.618,0.540,0.346
3.5,-1.4332E+00,-1.3778E+00,-1.4599E+00,-1.5297E+00,2.1775E+00,-2.4997E-02,7.0216E-01,6.2,-1.2156E+00,9.9989E-02,-4.5000E-05,4.5,1,7.12,0.0000E+00,2.5717E-03,-1.1739E-03,-9.9100E-01,883.16,760,0,0.1,-7.5682E-03,-1.5500E-03,1.2114E+00,5.6981E-01,129.71,191.11,0.078,0.000,225,300,0.536,0.617,0.541,0.347
3.6,-1.4762E+00,-1.4193E+00,-1.5014E+00,-1.5764E+00,2.1834E+00,-2.2575E-02,7.1523E-01,6.2,-1.2156E+00,1.0043E-01,-4.9000E-05,4.5,1,7.16,0.0000E+00,2.5735E-03,-1.1539E-03,-9.8682E-01,870.05,760,0,0.1,-6.5374E-03,-1.5400E-03,1.2336E+00,5.8932E-01,129.56,191.98,0.075,0.000,225,300,0.536,0.616,0.542,0.348
3.8,-1.5617E+00,-1.5014E+00,-1.5865E+00,-1.6685E+00,2.1938E+00,-1.8362E-02,7.4028E-01,6.2,-1.2158E+00,1.0142E-01,-5.3000E-05,4.5,1,7.24,0.0000E+00,2.5862E-03,-1.1229E-03,-9.7826E-01,857.07,760,0,0.1,-4.7016E-03,-1.5200E-03,1.2534E+00,6.0918E-01,129.49,195.01,0.072,0.000,225,300,0.536,0.616,0.543,0.349
4,-1.6388E+00,-1.5748E+00,-1.6673E+00,-1.7516E+00,2.2040E+00,-1.4642E-02,7.6303E-01,6.2,-1.2162E+00,1.0218E-01,-5.2000E-05,4.5,1,7.32,0.0000E+00,2.6053E-03,-1.0829E-03,-9.6938E-01,844.48,760,0,0.1,-3.2123E-03,-1.5200E-03,1.2711E+00,6.2939E-01,129.49,199.45,0.070,0.000,225,300,0.536,0.616,0.543,0.349
4.2,-1.7116E+00,-1.6439E+00,-1.7451E+00,-1.8290E+00,2.2123E+00,-1.2248E-02,7.8552E-01,6.2,-1.2165E+00,1.0269E-01,-4.7000E-05,4.5,1,7.39,0.0000E+00,2.6190E-03,-1.0247E-03,-9.6012E-01,832.45,760,0,0.1,-2.1033E-03,-1.5200E-03,1.2870E+00,6.5157E-01,129.57,204.93,0.068,0.000,225,300,0.535,0.616,0.542,0.349
4.4,-1.7798E+00,-1.7089E+00,-1.8192E+00,-1.9011E+00,2.2181E+00,-1.1459E-02,8.0792E-01,6.2,-1.2169E+00,1.0304E-01,-3.9000E-05,4.5,1,7.46,0.0000E+00,2.6235E-03,-9.4640E-04,-9.5049E-01,821.18,760,0,0.1,-1.3244E-03,-1.5000E-03,1.3004E+00,6.7421E-01,129.71,211.09,0.066,0.000,225,300,0.534,0.617,0.540,0.347
4.6,-1.8469E+00,-1.7731E+00,-1.8923E+00,-1.9712E+00,2.2230E+00,-1.1760E-02,8.3126E-01,6.2,-1.2175E+00,1.0324E-01,-2.7000E-05,4.5,1,7.52,0.0000E+00,2.6217E-03,-8.4448E-04,-9.4050E-01,810.79,760,0,0.1,-8.0422E-04,-1.4800E-03,1.3125E+00,6.9698E-01,129.87,217.56,0.064,0.000,225,300,0.533,0.619,0.538,0.345
4.8,-1.9063E+00,-1.8303E+00,-1.9573E+00,-2.0326E+00,2.2268E+00,-1.2879E-02,8.5240E-01,6.2,-1.2182E+00,1.0337E-01,-1.4000E-05,4.5,1,7.64,0.0000E+00,2.6153E-03,-7.1799E-04,-9.3018E-01,801.41,760,0,0.1,-4.7145E-04,-1.4600E-03,1.3225E+00,7.1888E-01,130.05,223.99,0.063,0.000,225,300,0.531,0.621,0.535,0.341
5,-1.9660E+00,-1.8882E+00,-2.0245E+00,-2.0928E+00,2.2299E+00,-1.4855E-02,8.7314E-01,6.2,-1.2189E+00,1.0353E-01,0.0000E+00,4.5,1,7.78,0.0000E+00,2.6035E-03,-5.7148E-04,-9.1954E-01,793.13,760,0,0.1,-2.5480E-04,-1.4400E-03,1.3289E+00,7.3806E-01,130.22,230.00,0.061,0.000,225,300,0.528,0.622,0.532,0.335
5.5,-2.1051E+00,-2.0232E+00,-2.1908E+00,-2.2288E+00,2.2389E+00,-1.9502E-02,9.1466E-01,6.2,-1.2204E+00,1.0460E-01,0.0000E+00,4.5,1,8.07,0.0000E+00,2.5908E-03,-4.0768E-04,-8.9176E-01,785.73,760,0,0.1,7.2383E-05,-1.4000E-03,1.3450E+00,7.7790E-01,130.39,241.86,0.060,0.000,225,300,0.526,0.624,0.528,0.329
6,-2.2421E+00,-2.1563E+00,-2.3659E+00,-2.3579E+00,2.2377E+00,-2.6383E-02,9.4870E-01,6.2,-1.2232E+00,1.0750E-01,0.0000E+00,4.5,1,8.48,0.0000E+00,2.5835E-03,-2.2841E-04,-8.6286E-01,779.91,760,0,0.1,1.8770E-04,-1.3800E-03,1.3496E+00,8.0278E-01,130.53,249.34,0.059,0.000,225,300,0.524,0.625,0.524,0.321
6.5,-2.3686E+00,-2.2785E+00,-2.5322E+00,-2.4770E+00,2.2150E+00,-3.9505E-02,9.7643E-01,6.2,-1.2299E+00,1.1231E-01,0.0000E+00,4.5,1,8.9,0.0000E+00,2.5862E-03,-3.6400E-05,-8.3355E-01,775.60,760,0,0.1,1.5945E-04,-1.3700E-03,1.3489E+00,8.1480E-01,130.63,252.94,0.059,0.000,225,300,0.520,0.634,0.517,0.312
7,-2.4827E+00,-2.3881E+00,-2.6818E+00,-2.5854E+00,2.1720E+00,-5.9140E-02,9.9757E-01,6.2,-1.2408E+00,1.1853E-01,0.0000E+00,4.5,1,9.2,0.0000E+00,2.6026E-03,1.6835E-04,-8.0457E-01,772.68,760,0,0.1,5.5920E-05,-1.3700E-03,1.3422E+00,8.1615E-01,130.70,253.12,0.059,0.000,225,300,0.515,0.636,0.514,0.302
7.5,-2.5865E+00,-2.4874E+00,-2.8176E+00,-2.6854E+00,2.1187E+00,-8.1606E-02,1.0121E+00,6.2,-1.2543E+00,1.2507E-01,0.0000E+00,4.5,1,9.48,0.0000E+00,2.6000E-03,3.8493E-04,-7.7665E-01,771.01,760,0,0.1,-5.4600E-05,-1.3700E-03,1.3288E+00,8.0900E-01,130.72,250.39,0.058,0.000,225,300,0.512,0.634,0.511,0.270
8,-2.6861E+00,-2.5829E+00,-2.9438E+00,-2.7823E+00,2.0613E+00,-1.0382E-01,1.0232E+00,6.2,-1.2688E+00,1.3146E-01,0.0000E+00,4.5,1,9.57,0.0000E+00,2.6300E-03,7.2000E-04,-7.5033E-01,760.81,760,0,0.1,-1.1724E-04,-1.3700E-03,1.3084E+00,7.9538E-01,130.87,245.23,0.059,0.000,225,300,0.510,0.630,0.507,0.278
8.5,-2.7820E+00,-2.6752E+00,-3.0597E+00,-2.8776E+00,2.0084E+00,-1.2114E-01,1.0335E+00,6.2,-1.2839E+00,1.3742E-01,0.0000E+00,4.5,1,9.62,0.0000E+00,2.6700E-03,9.4000E-04,-7.2544E-01,764.50,760,0,0.1,-1.3084E-04,-1.3700E-03,1.2822E+00,7.7671E-01,130.71,238.13,0.059,0.000,225,300,0.509,0.622,0.503,0.265
9,-2.8792E+00,-2.7687E+00,-3.1713E+00,-2.9759E+00,1.9605E+00,-1.3407E-01,1.0453E+00,6.2,-1.2989E+00,1.4294E-01,0.0000E+00,4.5,1,9.66,0.0000E+00,2.7600E-03,1.1300E-03,-7.0161E-01,768.07,760,0,0.1,-1.0766E-04,-1.3700E-03,1.2515E+00,7.5425E-01,130.50,229.56,0.060,0.000,225,300,0.509,0.613,0.498,0.252
9.5,-2.9769E+00,-2.8634E+00,-3.2785E+00,-3.0760E+00,1.9189E+00,-1.4364E-01,1.0567E+00,6.2,-1.3130E+00,1.4781E-01,0.0000E+00,4.5,1,9.66,0.0000E+00,2.8900E-03,1.3100E-03,-6.7850E-01,771.55,760,0,0.1,-5.9962E-05,-1.3600E-03,1.2179E+00,7.2925E-01,130.26,220.02,0.060,0.000,225,300,0.509,0.604,0.492,0.239
10,-3.0702E+00,-2.9537E+00,-3.3776E+00,-3.1726E+00,1.8837E+00,-1.5096E-01,1.0651E+00,6.2,-1.3253E+00,1.5183E-01,0.0000E+00,4.5,1,9.66,0.0000E+00,3.0300E-03,1.4900E-03,-6.5575E-01,775.00,760,0,0.1,0.0000E+00,-1.3600E-03,1.1829E+00,7.0300E-01,130.00,210.00,0.060,0.000,225,300,0.510,0.604,0.487,0.239
